ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_1,"Health/Security","Which of the following is a cyber security threat?","Backup","Phishing","Antivirus","Firewall","Phishing","Threats are malicious software or attacks."
q_2,"Health/Security","Which of the following is a cyber security threat?","Backup","Spam","Firewall","Antivirus","Spam","Threats are malicious software or attacks."
q_3,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Trojan Horse","Backup","Trojan Horse","Threats are malicious software or attacks."
q_4,"Networking","Which term is related to computer networking?","Printer","Keyboard","Monitor","Client-Server","Client-Server","It relates to connectivity or web addresses."
q_5,"ICT Applications","The term 'ATM' is associated with which field?","Data Representation","Networking","Logic Gates","ICT Applications","ICT Applications","Think about how technology helps society."
q_6,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","USB","SSD","OR","OR","Logic gates operate on TRUE/FALSE values."
q_7,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Housing Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_8,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","Emailing","File Management","Photo Editing","File Management","Think about managing resources and maintenance."
q_9,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Backup","Phishing","Phishing","Threats are malicious software or attacks."
q_10,"Networking","Which term is related to computer networking?","Client-Server","Monitor","Keyboard","Printer","Client-Server","It relates to connectivity or web addresses."
q_11,"Web Development","Which HTML tag is used to insert a line break?","{code}","<invalid>","[link]","<br>","<br>","HTML tags start with < and end with >."
q_12,"Databases","In a database, what does the term 'Query' refer to?","A web browser","A hardware port","A network protocol","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_13,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Intellectual Property Act","Traffic Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_14,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","Disk Formatting","Photoshop","MS Word","Disk Formatting","Think about managing resources and maintenance."
q_15,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Backup","Virus","Virus","Threats are malicious software or attacks."
q_16,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","WiFi","Begin","System32","Begin","It is part of Pascal language keywords."
q_17,"Web Development","Which HTML tag is used to insert a line break?","<invalid>","[link]","<br>","{code}","<br>","HTML tags start with < and end with >."
q_18,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Intellectual Property Act","Housing Act","Forest Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_19,"Operating Systems","What is a primary function of an Operating System?","Device Management","Emailing","Web Browsing","Photo Editing","Device Management","Think about managing resources and maintenance."
q_20,"Health/Security","Which of the following is a cyber security threat?","Phishing","Backup","Antivirus","Firewall","Phishing","Threats are malicious software or attacks."
q_21,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Emailing","Web Browsing","User Interface","User Interface","Think about managing resources and maintenance."
q_22,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","Var","WiFi","System32","Var","It is part of Pascal language keywords."
q_23,"ICT Applications","The term 'E-Government' is associated with which field?","Data Representation","Logic Gates","Networking","ICT Applications","ICT Applications","Think about how technology helps society."
q_24,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Gaming","Data Entry","Testing & Debugging","Testing & Debugging","It is a step in building software."
q_25,"Web Development","Which HTML tag is used to define a large heading?","<invalid>","<h1>","[link]","{code}","<h1>","HTML tags start with < and end with >."
q_26,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Deployment","Gaming","Data Entry","Printing","Deployment","It is a step in building software."
q_27,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Backup","Virus","Virus","Threats are malicious software or attacks."
q_28,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_29,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOR","BIOS","SSD","USB","NOR","Logic gates operate on TRUE/FALSE values."
q_30,"Operating Systems","What is a primary function of an Operating System?","Emailing","Photo Editing","Process Management","Web Browsing","Process Management","Think about managing resources and maintenance."
q_31,"Databases","In a database, what does the term 'Primary Key' refer to?","A network protocol","A database structural element","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_32,"Databases","In a database, what does the term 'Table' refer to?","A network protocol","A web browser","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_33,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Printing","Maintenance","Data Entry","Maintenance","It is a step in building software."
q_34,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Computer Crimes Act No. 24 of 2007","Housing Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_35,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","BIOS","USB","NOT","NOT","Logic gates operate on TRUE/FALSE values."
q_36,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Printing","Implementation/Coding","Data Entry","Implementation/Coding","It is a step in building software."
q_37,"Data Representation","Which standard is used for character encoding?","HTTP","TCP/IP","EBCDIC","HTML","EBCDIC","It maps characters to numbers."
q_38,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Testing & Debugging","Gaming","Printing","Data Entry","Testing & Debugging","It is a step in building software."
q_39,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Electronic Transactions Act","Traffic Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_40,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","Antivirus","MS Word","Photoshop","Antivirus","Think about managing resources and maintenance."
q_41,"Health/Security","Which of the following is a cyber security threat?","Virus","Firewall","Antivirus","Backup","Virus","Threats are malicious software or attacks."
q_42,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Intellectual Property Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_43,"Networking","Which term is related to computer networking?","Monitor","Printer","Keyboard","Cloud Computing","Cloud Computing","It relates to connectivity or web addresses."
q_44,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_45,"Operating Systems","What is a primary function of an Operating System?","Process Management","Photo Editing","Web Browsing","Emailing","Process Management","Think about managing resources and maintenance."
q_46,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Intellectual Property Act","Traffic Act","Forest Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_47,"Databases","In a database, what does the term 'Form' refer to?","A web browser","A network protocol","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_48,"Data Representation","Which storage unit is valid and commonly used?","Volt","Kilobyte (KB)","Hertz","Pixel","Kilobyte (KB)","Think about file sizes (KB, MB, GB)."
q_49,"Databases","In a database, what does the term 'Query' refer to?","A web browser","A network protocol","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_50,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Intellectual Property Act","Traffic Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_51,"Databases","In a database, what does the term 'Form' refer to?","A database structural element","A web browser","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_52,"Networking","Which term is related to computer networking?","Client-Server","Keyboard","Monitor","Printer","Client-Server","It relates to connectivity or web addresses."
q_53,"Databases","In a database, what does the term 'Record' refer to?","A network protocol","A web browser","A database structural element","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_54,"Networking","Which term is related to computer networking?","Printer","Keyboard","Monitor","IP Address","IP Address","It relates to connectivity or web addresses."
q_55,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOR","SSD","BIOS","USB","NOR","Logic gates operate on TRUE/FALSE values."
